"","HDI","e.finit.n","e.finit.s","e.grth.n","e.inov.n","e.inov.s","e.cinov.n","e.cinov.s","v.spoll.n","v.spoll.s","v.cfsus.n","v.cfsus.s","v.drop.n","v.drop.s"
"167",0.0274913,1.788,0.668,0.01868,0.01658,-0.02994,0.00801,3e-05,9.77,4.63,1.064,1.2368,0.00685,0.00345
"168",-0.0276428,0.284,2.66,0.0158,0.00446,-0.00366,0.00369,0.00793,3.85,1.11,1.0416,0.9088,0.00777,0.00303
"169",-0.0341588,0.18,0.324,0.00948,0.02402,0.01674,0.00759,0.00679,5.97,9.73,0.5632,0.6688,0.00165,0.00697
"170",0.0211484,3.564,2.428,0.01404,0.03746,-0.01386,0.00663,0.00477,1.25,5.97,1.2176,0.664,0.00473,0.00627
"171",0.00758004,2.516,0.228,0.03028,0.04454,0.0165,0.00497,0.00397,5.83,9.21,1.2848,0.5472,0.00223,0.00513
"172",-0.0336023,1.956,0.636,0.0398,0.00566,0.0267,0.00995,0.00605,9.73,1.17,0.872,1.0368,0.00621,1e-05
"173",0.0232154,0.964,3.492,0.03212,0.01178,0.00018,0.00719,0.00125,9.17,2.03,0.984,0.6064,0.00881,0.00361
"174",0.0114474,0.148,1.596,0.00596,0.03002,-0.0219,0.00741,0.00237,4.37,4.37,0.816,1.0432,0.00627,0.00685
"175",0.0374545,1.732,3.596,0.0274,0.04742,-0.00726,0.00129,0.00107,9.33,2.63,1.2544,0.904,0.00745,0.00771
"176",0.0387322,0.476,3.276,0.03804,0.03698,-0.00078,0.00057,0.00743,3.43,5.77,1.2704,0.7744,0.00195,0.00549
"177",0.0291717,2.644,2.54,0.02388,0.0275,0.02262,5e-05,0.00165,4.19,9.01,0.656,0.7696,0.00829,0.00269
"178",-0.0404352,3.412,0.532,0.01316,-0.00742,0.00222,0.00491,0.00929,7.79,2.09,1.1504,0.7616,0.00719,0.00107
"179",0.0395732,2.948,1.708,0.01476,0.02414,0.01938,0.00385,0.00059,5.35,8.75,0.6992,0.9104,0.00237,0.00655
"180",-0.159891,2.676,3.396,0.013,0.00158,-0.00222,0.00693,0.00573,6.97,0.63,0.9104,0.6512,0.00859,0.00071
"181",-0.101258,0.012,3.708,0.01268,0.0197,0.01362,0.00853,0.00885,9.29,5.51,0.952,0.8816,0.00101,0.00255
"182",-0.0023018,3.756,0.108,0.03308,0.03458,0.0015,0.00089,0.00159,9.35,4.75,0.9552,1.0048,3e-05,0.00597
"183",0.0258906,0.708,2.556,0.02268,0.02822,0.02598,0.00847,0.00937,3.53,8.23,0.9776,1.2928,0.00049,0.00335
"184",0.025131,0.572,3.076,0.00772,0.03038,0.00918,0.00641,0.00799,5.51,5.71,0.504,0.6864,0.00341,0.00147
"185",0.0206959,3.94,2.924,0.02956,0.01562,0.00666,0.00983,0.00903,2.97,7.33,0.592,1.1952,0.00123,0.00863
"186",0.0395647,2.292,1.908,0.03044,0.01754,0.0171,0.00401,0.00121,4.73,9.45,1.048,1.1536,0.00227,0.00903
"187",0.0416584,3.364,0.716,0.03572,0.0281,0.02454,0.00029,0.00123,0.29,7.43,0.7472,1.208,0.00511,0.00075
"188",-0.0985583,1.58,2.212,0.0194,-0.00946,-0.0135,0.00895,0.00313,4.57,7.23,0.7632,0.5744,0.00149,0.00635
"189",-0.0728704,1.684,0.3,0.00364,0.0329,-0.01314,1e-05,0.00719,2.89,0.81,0.5568,1.0016,0.00645,0.00711
"190",0.0039411,0.62,3.788,0.01028,-1e-04,0.00618,0.00281,0.00759,4.23,7.57,0.808,1.2288,0.00983,0.00893
